Time	Worker	TD	mu	PLoss	ELoss	VLoss
1100	0	-0.34556132555007935	0.018943492416230612	-0.02882765606045723	-0.021971596404910088	0.05970631539821625
1100	0	-0.35199981927871704	0.5313838124275208	-0.8257036209106445	-0.02197159454226494	0.06195193529129028
1100	2	-0.025953233242034912	1.033202052116394	-0.11770536005496979	-0.021970639005303383	0.0003367851604707539
1200	0	-0.3606905937194824	0.012427229434251785	-0.019676081836223602	-0.021971428766846657	0.06504885107278824
1200	1	-0.036261796951293945	1.0381497144699097	-0.1652396023273468	-0.021970979869365692	0.0006574589642696083
1200	2	-0.35248684883117676	0.012036815285682678	-0.018666090443730354	-0.021971378475427628	0.06212348863482475
1300	1	-0.33832722902297974	0.012544629164040089	-0.018602745607495308	-0.021971382200717926	0.057232655584812164
1400	0	-0.28764644265174866	1.8167034891368237e-06	-2.3080835944710998e-06	-0.021971264854073524	0.04137023910880089
1400	0	-0.5490998029708862	0.00015236429246957665	-0.00036867038579657674	-0.02197127975523472	0.15075530111789703
1400	0	-0.7561448216438293	0.01215391419827938	-0.0403585284948349	-0.021971305832266808	0.2858774960041046
1400	1	-0.2965112030506134	0.00014889572804028216	-0.0001961563975783065	-0.0219712033867836	0.043959446251392365
1400	1	-0.512203574180603	0.012487901374697685	-0.028128445148468018	-0.021971160545945168	0.13117624819278717
1400	2	-0.2885839641094208	1.7737717073997354e-06	-2.2754650217393646e-06	-0.021970974281430244	0.041640352457761765
1400	2	-0.5638895034790039	0.00014970531453286154	-0.00037272978806868196	-0.021971119567751884	0.1589856892824173
1400	2	-0.7815499305725098	0.01198514923453331	-0.04133787378668785	-0.021971192210912704	0.30541014671325684
1600	0	-0.24132531881332397	0.012372119352221489	-0.013104107230901718	-0.021971097216010094	0.02911895513534546
1600	1	-0.23345881700515747	0.012371289543807507	-0.012698100879788399	-0.021971246227622032	0.027251509949564934
1600	2	-0.24417906999588013	0.012267825193703175	-0.013170935213565826	-0.02197125181555748	0.029811708256602287
1700	0	-0.26084238290786743	0.012346082367002964	-0.014168176800012589	-0.021971212700009346	0.03401937335729599
1700	1	-0.26882296800613403	0.012150334194302559	-0.014403950423002243	-0.021971169859170914	0.036132894456386566
1700	2	-0.26327604055404663	0.012248223647475243	-0.01422548945993185	-0.021971233189105988	0.03465713560581207
1800	0	-0.2893223762512207	0.012596866115927696	-0.016066089272499084	-0.021971222013235092	0.04185371845960617
1800	1	-0.3007585406303406	0.012279905378818512	-0.016301404684782028	-0.02197117917239666	0.04522785171866417
1800	2	-0.2869657278060913	0.01211521029472351	-0.015325980260968208	-0.021971259266138077	0.041174665093421936
1900	0	-0.3121422529220581	0.012876478023827076	-0.01761713996529579	-0.021971067413687706	0.04871639236807823
1900	1	-0.3068583607673645	0.012904444709420204	-0.017355894669890404	-0.021971074864268303	0.047081027179956436
1900	2	-0.3187994360923767	0.012811554595828056	-0.017903834581375122	-0.021971141919493675	0.05081653967499733
2000	0	-0.2859538197517395	0.012520222924649715	-0.015760984271764755	-0.021971140056848526	0.04088479280471802
2000	1	-0.29190486669540405	0.012497903779149055	-0.01601557247340679	-0.021971356123685837	0.0426042266190052
2000	2	-0.29307228326797485	0.012391416355967522	-0.01600627787411213	-0.02197117917239666	0.042945683002471924
2100	0	-0.3165891766548157	0.012365245260298252	-0.017235571518540382	-0.021971166133880615	0.05011435225605965
2100	1	-0.3023284673690796	0.01244468055665493	-0.016510402783751488	-0.02197105623781681	0.045701250433921814
2100	2	-0.28297948837280273	0.012695202603936195	-0.01574101112782955	-0.021971222013235092	0.04003869369626045
2200	0	-0.2928502857685089	0.000154550187565051	-0.0001995681377593428	-0.02197108045220375	0.04288064315915108
2200	0	-0.5399796962738037	0.012645487673580647	-0.029956284910440445	-0.02197110652923584	0.1457890421152115
2200	1	-0.2902391850948334	0.00015478043683844755	-0.00019922784122172743	-0.021971408277750015	0.04211939126253128
2200	1	-0.538744330406189	0.0124698206782341	-0.02966471016407013	-0.021971208974719048	0.1451227217912674
2200	2	-0.2914690673351288	0.00015263311434837723	-0.0001965588890016079	-0.021971233189105988	0.04247710853815079
2200	2	-0.5345427989959717	0.012307493947446346	-0.028945567086338997	-0.021971281617879868	0.14286799728870392
2300	0	-0.269795686006546	0.01236814446747303	-0.014728149399161339	-0.021971186622977257	0.03639485687017441
2300	1	-0.2649824321269989	0.012416649609804153	-0.014483336359262466	-0.0219711996614933	0.035107843577861786
2300	2	-0.26510927081108093	0.01244781631976366	-0.01450299471616745	-0.02197127975523472	0.035141464322805405
2500	0	-0.29887017607688904	0.00016285157201423317	-0.0002160002914024517	-0.021971210837364197	0.044661689549684525
2500	0	-0.5514112710952759	0.0131194107234478	-0.03153752163052559	-0.02197113074362278	0.1520271897315979
2500	1	-0.28864893317222595	0.00015809538471340742	-0.0002024241111939773	-0.021971190348267555	0.04165910184383392
2500	1	-0.5507249236106873	0.012998438440263271	-0.03125384449958801	-0.021971315145492554	0.15164896845817566
2500	2	-0.29551926255226135	0.00016163576182220973	-0.00021155300782993436	-0.021971387788653374	0.043665818870067596
2500	2	-0.5641840696334839	0.012945317663252354	-0.03180259093642235	-0.02197120524942875	0.1591518372297287
2700	0	-0.23308143019676208	0.01258641667664051	-0.012907235883176327	-0.021971331909298897	0.02716347575187683
2700	1	-0.2330155372619629	0.01265766005963087	-0.012983512133359909	-0.021971222013235092	0.02714812010526657
2700	2	-0.2309269905090332	0.01265596505254507	-0.01290134247392416	-0.021971244364976883	0.026663636788725853
